,loss,accuracy,val_loss,val_accuracy,lr
1,0.1726335734128952,0.9436646699905396,0.3365674912929535,0.8993055820465088,0.001
2,0.1344580203294754,0.9547508955001831,0.16636210680007935,0.9470486044883728,0.001
3,0.12017790973186493,0.958890438079834,0.12058719992637634,0.9618055820465088,0.001
4,0.1161196306347847,0.960317850112915,0.23311179876327515,0.8997395634651184,0.001
5,0.11302152276039124,0.9607936143875122,0.29458239674568176,0.8754340410232544,0.001
6,0.10353729128837585,0.9638863801956177,0.09464333951473236,0.9674479365348816,0.0005
7,0.09437442570924759,0.9664081335067749,0.09429668635129929,0.9661458134651184,0.0005
8,0.09570474922657013,0.966550886631012,0.07074033468961716,0.9748263955116272,0.0005
9,0.0910223200917244,0.9673597812652588,0.06578312814235687,0.9800347089767456,0.0005
10,0.08995036035776138,0.9680734872817993,0.0837216004729271,0.9713541865348816,0.0005
11,0.09129087626934052,0.9677879810333252,0.09335588663816452,0.9756944179534912,0.0005
12,0.08124095946550369,0.972450852394104,0.062097080051898956,0.9782986044883728,0.00025
13,0.07687067240476608,0.9722605347633362,0.06321687251329422,0.9800347089767456,0.00025
14,0.07781609892845154,0.9724984765052795,0.06633232533931732,0.9787326455116272,0.00025
15,0.06848176568746567,0.9754008650779724,0.059550583362579346,0.9796006679534912,0.000125
16,0.06553999334573746,0.9774944186210632,0.06428005546331406,0.9782986044883728,0.000125
17,0.06308606266975403,0.9778750538825989,0.05696322023868561,0.9800347089767456,0.000125
18,0.06383899599313736,0.9772089123725891,0.057740405201911926,0.9791666865348816,0.000125
19,0.06384913623332977,0.9782081246376038,0.05469141900539398,0.9817708134651184,0.000125
20,0.060313716530799866,0.9790169596672058,0.05409865453839302,0.9791666865348816,0.000125
21,0.06144261732697487,0.9793024659156799,0.05637217313051224,0.9826388955116272,0.000125
22,0.05880080536007881,0.9783508777618408,0.05428097024559975,0.9822048544883728,0.000125
23,0.05413070693612099,0.980872631072998,0.05509203299880028,0.9809027910232544,6.25e-05
24,0.052669037133455276,0.9808250665664673,0.05631709098815918,0.9796006679534912,6.25e-05
25,0.0489872507750988,0.9831089377403259,0.059172432869672775,0.9774305820465088,3.125e-05
26,0.04751954972743988,0.9826806783676147,0.05729587748646736,0.9809027910232544,3.125e-05
27,0.0474204495549202,0.9827282428741455,0.05630767345428467,0.9800347089767456,1.5625e-05
